App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Review_group
"Messages, Text and Video Chat for Messenger",SOCIAL,1.0,49173,4.0M,"10,000,000+",Free,0,Everyone,Social,"June 4, 2018",1.24,4.1 and up,"[26432,max)"
W-History Standalone,SOCIAL,0.0,38,1.5M,"1,000+",Paid,$0.99,Everyone,Social,"March 9, 2018",1.935,7.0 and up,"[23,889)"
Ruler,HOUSE_AND_HOME,1.0,126,1.9M,"10,000+",Free,0,Everyone,House & Home,"August 21, 2017",1.0,4.0 and up,"[23,889)"
Reindeer VPN - Proxy VPN,TOOLS,1.0,7339,4.0M,"100,000+",Free,0,Everyone,Tools,"May 10, 2018",1.74,4.1 and up,"[889,26432)"
EU VAT Checker,BUSINESS,0.0,7,39k,"1,000+",Free,0,Everyone,Business,"October 12, 2011",1,1.6 and up,"[0,23)"
ch-mm Dict,BOOKS_AND_REFERENCE,1.0,0,1.4M,10+,Paid,$1.96,Everyone,Books & Reference,"July 18, 2014",1.0,2.3 and up,"[0,23)"
Jiji.ng,SHOPPING,1.0,25714,12M,"1,000,000+",Free,0,Everyone,Shopping,"July 24, 2018",3.8.2.2,4.0.3 and up,"[889,26432)"
Furrion ES Control,VIDEO_PLAYERS,0.0,26,2.7M,"5,000+",Free,0,Everyone,Video Players & Editors,"September 29, 2016",1.0,4.2 and up,"[23,889)"
Ba dum tss - Rimshot widget,COMICS,1.0,690,444k,"50,000+",Free,0,Everyone,Comics,"September 29, 2015",1.2.3,2.2 and up,"[23,889)"
Pacifica - Stress & Anxiety,HEALTH_AND_FITNESS,1.0,10253,Varies with device,"500,000+",Free,0,Teen,Health & Fitness,"July 9, 2018",6.3.1,Varies with device,"[889,26432)"
AC Remote for LG - NOW FREE,TOOLS,0.0,1041,28M,"100,000+",Free,0,Everyone,Tools,"July 30, 2018",6.1.7,4.2 and up,"[889,26432)"
BT Satmeter,TOOLS,1.0,0,2.4M,100+,Free,0,Everyone,Tools,"April 12, 2018",V2.3,4.3 and up,"[0,23)"
Learn English from Persian: Persian to English,EDUCATION,1.0,423,21M,"100,000+",Free,0,Everyone,Education,"April 3, 2018",6.0,4.0.3 and up,"[23,889)"
Newegg Mobile,SHOPPING,1.0,35497,16M,"1,000,000+",Free,0,Everyone,Shopping,"July 11, 2018",4.16.0,4.4 and up,"[26432,max)"
Dr. Unblock,FAMILY,0.0,3847,4.3M,"1,000,000+",Free,0,Everyone,Puzzle,"January 3, 2018",1.05,4.1 and up,"[889,26432)"
Chictopia,LIFESTYLE,1.0,360,4.6M,"10,000+",Free,0,Everyone,Lifestyle,"April 30, 2014",1.6.2,2.2 and up,"[23,889)"
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,0.0,5164,25M,"100,000+",Free,0,Mature 17+,Dating,"July 24, 2018",3.8.75a,4.0.3 and up,"[889,26432)"
Bejeweled Stars: Free Match 3,FAMILY,1.0,85484,Varies with device,"1,000,000+",Free,0,Everyone,Puzzle;Brain Games,"August 2, 2018",2.17.1,4.1 and up,"[26432,max)"
Space Shooter : Galaxy Attack,GAME,1.0,169661,40M,"10,000,000+",Free,0,Everyone,Arcade,"August 1, 2018",1.246,4.1 and up,"[26432,max)"
Ah! Coins,GAME,0.0,256,9.1M,"50,000+",Free,0,Everyone,Action,"December 8, 2016",1.0.0,2.3 and up,"[23,889)"
The Florida Trail Guide,TRAVEL_AND_LOCAL,1.0,100,13M,"5,000+",Free,0,Everyone,Travel & Local,"April 1, 2017",6.0.18,4.1 and up,"[23,889)"
"3D Color by Number: Voxel, Unicorn, Pixel Art 3D",FAMILY,1.0,2017,Varies with device,"100,000+",Free,0,Everyone,Entertainment,"February 16, 2018",2.4,4.1 and up,"[889,26432)"
Haircut Tutorials/Haircut Videos,BEAUTY,1.0,38,7.1M,"10,000+",Free,0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up,"[23,889)"
The ClubHouse CR,HEALTH_AND_FITNESS,1.0,5,8.7M,100+,Free,0,Everyone,Health & Fitness,"July 9, 2018",4.2.2,4.1 and up,"[0,23)"
R-net for Android,PRODUCTIVITY,0.0,48,58k,"5,000+",Free,0,Everyone,Productivity,"August 7, 2013",1.0,3.1 and up,"[23,889)"
Remote | Fire TV | Android TV | KODI | CetusPlay,TOOLS,1.0,15911,16M,"1,000,000+",Free,0,Everyone,Tools,"June 30, 2018",4.1.8.1,4.1 and up,"[889,26432)"
Allegiant,TRAVEL_AND_LOCAL,0.0,5572,21M,"1,000,000+",Free,0,Everyone,Travel & Local,"July 12, 2018",5.16.1,4.4 and up,"[889,26432)"
New 2018 Keyboard,PERSONALIZATION,1.0,298321,14M,"10,000,000+",Free,0,Everyone,Personalization,"August 5, 2018",2.5.5.9,4.2 and up,"[26432,max)"
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,1.0,3596,7.8M,"10,000+",Free,0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up,"[889,26432)"
MyChart,MEDICAL,1.0,19473,Varies with device,"1,000,000+",Free,0,Everyone,Medical,"July 24, 2018",Varies with device,Varies with device,"[889,26432)"
FR Tides,WEATHER,0.0,1195,582k,"100,000+",Free,0,Everyone,Weather,"February 16, 2014",6.0,2.1 and up,"[889,26432)"
"Free phone calls, free texting SMS on free number",SOCIAL,1.0,412725,35M,"10,000,000+",Free,0,Everyone,Social,"July 31, 2018",3.8.1,4.1 and up,"[26432,max)"
Monash Uni Low FODMAP Diet,MEDICAL,1.0,1135,12M,"100,000+",Paid,$9.00,Everyone,Medical,"July 16, 2018",2.0.7,4.0 and up,"[889,26432)"
BW t&t,PRODUCTIVITY,1.0,2,1.7M,10+,Free,0,Everyone,Productivity,"December 15, 2016",1.0,4.1 and up,"[0,23)"
Flashlight - Torch LED Light,TOOLS,1.0,192661,8.5M,"10,000,000+",Free,0,Everyone,Tools,"July 7, 2018",2.4.1,4.1 and up,"[26432,max)"
DT CLOTHINGS,SHOPPING,1.0,1,7.9M,10+,Free,0,Everyone,Shopping,"July 25, 2018",1.0.1,4.1 and up,"[0,23)"
BOO! - Next Generation Messenger,SOCIAL,0.0,20675,96M,"1,000,000+",Free,0,Teen,Social,"August 2, 2018",4.4.0,5.0 and up,"[889,26432)"
Countries of the European Union (Quiz),GAME,1.0,11,7.0M,100+,Free,0,Everyone,Trivia,"February 3, 2018",1.3,5.0 and up,"[0,23)"
A.J. Styles HD Wallpapers 2018,PHOTOGRAPHY,1.0,1,7.6M,100+,Free,0,Everyone,Photography,"July 26, 2018",1.0,4.1 and up,"[0,23)"
WeChat,COMMUNICATION,1.0,5387333,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device,"[26432,max)"
EduNAV.BH,FAMILY,1.0,3,3.8M,50+,Free,0,Everyone,Education,"February 12, 2018",1.2.0,4.3 and up,"[0,23)"
MomentCam Cartoons & Stickers,PHOTOGRAPHY,1.0,1260143,Varies with device,"50,000,000+",Free,0,Everyone,Photography,"July 12, 2018",Varies with device,Varies with device,"[26432,max)"
Profile Pictures and DP for Whatsapp,SOCIAL,1.0,48,11M,"5,000+",Free,0,Everyone,Social,"May 12, 2017",1.3,4.0.3 and up,"[23,889)"
Happy Birthday Songs Offline,EVENTS,1.0,464,8.9M,"100,000+",Free,0,Everyone,Events,"December 4, 2017",1.3,4.1 and up,"[23,889)"
Easy Recipes,FOOD_AND_DRINK,1.0,2707,8.9M,"100,000+",Free,0,Everyone,Food & Drink,"May 15, 2018",2.12,4.0.3 and up,"[889,26432)"
Galaxy Defense,FAMILY,1.0,78142,17M,"5,000,000+",Free,0,Everyone,Strategy,"August 22, 2015",1.2.3,3.0 and up,"[26432,max)"
Z PIVOT,COMMUNICATION,1.0,0,5.7M,10+,Paid,$19.99,Everyone,Communication,"July 11, 2018",1.3,4.2 and up,"[0,23)"
F-Secure SENSE,TOOLS,1.0,57,13M,"5,000+",Free,0,Everyone,Tools,"July 4, 2018",1.0.988,5.0 and up,"[23,889)"
FAST EO,EVENTS,1.0,1,Varies with device,10+,Free,0,Everyone,Events,"May 15, 2018",1.0.3,4.1 and up,"[0,23)"
CV Maker for Job Applications:Photo Resume Builder,TOOLS,0.0,114,25M,"10,000+",Free,0,Everyone,Tools,"June 9, 2018",1.5,4.0 and up,"[23,889)"
Tic Tac Toe,FAMILY,1.0,6007,18M,"1,000,000+",Free,0,Everyone,Board;Action & Adventure,"July 3, 2017",1.6.3028.0,2.3 and up,"[889,26432)"
My Little Pony: Story Creator,FAMILY,1.0,11002,21M,"1,000,000+",Free,0,Everyone,Education;Action & Adventure,"May 11, 2017",1.0,4.0.3 and up,"[889,26432)"
BZ Berner Zeitung E-Paper,NEWS_AND_MAGAZINES,1.0,4,Varies with device,"1,000+",Free,0,Everyone,News & Magazines,"July 30, 2018",5.1.1,4.1 and up,"[0,23)"
Texas Holdem Poker,GAME,0.0,127831,26M,"10,000,000+",Free,0,Teen,Card,"December 20, 2017",4.7.0,3.0 and up,"[26432,max)"
Sound Meter,TOOLS,1.0,88993,1.5M,"10,000,000+",Free,0,Everyone,Tools,"June 10, 2018",3.2.6,2.3 and up,"[26432,max)"
Red Embrace (BL/Yaoi Game),FAMILY,1.0,616,25M,"10,000+",Free,0,Teen,Casual,"June 12, 2018",4.5.5,2.3.3 and up,"[23,889)"
EZ Ag Mobile,FINANCE,0.0,19,24M,"5,000+",Free,0,Everyone,Finance,"August 12, 2017",9.0.00,3.0 and up,"[0,23)"
PES CLUB MANAGER,SPORTS,1.0,783025,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"June 7, 2018",1.7.2,4.2 and up,"[26432,max)"
BH Açaí,FOOD_AND_DRINK,1.0,3,4.7M,100+,Free,0,Everyone,Food & Drink,"May 29, 2018",7.0 RELEASE,4.0.3 and up,"[0,23)"
My BF App,COMMUNICATION,1.0,141,9.9M,"50,000+",Free,0,Everyone,Communication,"December 19, 2017",2.0,4.0 and up,"[23,889)"
Hotstar,ENTERTAINMENT,1.0,4885646,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device,"[26432,max)"
Rate Guide Bill Letter,LIFESTYLE,0.0,17368,14M,"10,000,000+",Free,0,Everyone,Lifestyle,"June 27, 2018",5.1.3,4.0 and up,"[889,26432)"
PASS by KT (formerly KT certified),LIFESTYLE,0.0,7869,21M,"1,000,000+",Free,0,Everyone,Lifestyle,"August 1, 2018",02.00.06,4.4 and up,"[889,26432)"
YouTube TV - Watch & Record Live TV,FAMILY,1.0,38517,17M,"1,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",2.29.2,5.0 and up,"[26432,max)"
Dp For FB,PHOTOGRAPHY,1.0,12,2.0M,"1,000+",Free,0,Teen,Photography,"October 19, 2017",1.0,4.1 and up,"[0,23)"
DM airdisk,TOOLS,0.0,11,11M,"1,000+",Free,0,Everyone,Tools,"August 5, 2016",1.7.2,3.0 and up,"[0,23)"
Monument Valley 2,GAME,1.0,9394,33M,"100,000+",Paid,$4.99,Everyone,Puzzle,"November 30, 2017",1.2.9,4.4 and up,"[889,26432)"
PORTABLE SOCCER DX Lite,SPORTS,1.0,15068,2.5M,"1,000,000+",Free,0,Everyone,Sports,"June 19, 2018",3.4,2.3 and up,"[889,26432)"
Block Craft 3D: Building Simulator Games For Free,GAME,1.0,946926,57M,"50,000,000+",Free,0,Everyone,Simulation,"March 5, 2018",2.10.2,4.0.3 and up,"[26432,max)"
Super Slime Blitz - Gumball,FAMILY,1.0,5395,58M,"500,000+",Free,0,Everyone,Arcade;Action & Adventure,"May 24, 2018",1.2.0,4.0.3 and up,"[889,26432)"
"Decibel X PRO - Sound Meter dBA, Noise Detector",TOOLS,1.0,60,6.9M,"1,000+",Paid,$3.99,Everyone,Tools,"July 11, 2018",4.4.1,4.1 and up,"[23,889)"
Super Hearing Super Ear Amplifier,MEDICAL,1.0,21,20M,"1,000+",Free,0,Everyone,Medical,"June 11, 2018",1.1,4.1 and up,"[0,23)"
Glow Hockey,GAME,1.0,1703479,Varies with device,"100,000,000+",Free,0,Everyone,Arcade,"July 22, 2018",1.3.8,4.1 and up,"[26432,max)"
FK Mladá Boleslav,SPORTS,1.0,0,26M,10+,Free,0,Everyone,Sports,"March 18, 2018",2.0,4.1 and up,"[0,23)"
OkCupid Dating,DATING,1.0,285726,15M,"10,000,000+",Free,0,Mature 17+,Dating,"July 30, 2018",11.10.1,4.1 and up,"[26432,max)"
Bh Public School,FAMILY,1.0,2,8.7M,10+,Free,0,Everyone,Education,"March 21, 2018",1.2,4.0.3 and up,"[0,23)"
Ad Detector,TOOLS,0.0,208,730k,"50,000+",Free,0,Everyone,Tools,"July 28, 2014",1.0,2.3 and up,"[23,889)"
LC-DB-LITE,PHOTOGRAPHY,1.0,0,2.3M,100+,Free,0,Everyone,Photography,"October 20, 2017",1.0,4.2 and up,"[0,23)"
DC Comics,COMICS,1.0,25671,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device,"[889,26432)"
BN Pro Play-b HD Text,LIBRARIES_AND_DEMO,1.0,34,417k,"1,000+",Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up,"[23,889)"
BaBe Lite - Read Quota Saving News,NEWS_AND_MAGAZINES,1.0,9548,15M,"1,000,000+",Free,0,Everyone,News & Magazines,"August 1, 2018",6.6.4,4.0 and up,"[889,26432)"
Fertilizer Removal By Crop,BOOKS_AND_REFERENCE,1.0,295,6.9M,"50,000+",Free,0,Everyone,Books & Reference,"June 20, 2017",2.0.3,4.0.3 and up,"[23,889)"
Pistolet FN 1906 expliqué,BOOKS_AND_REFERENCE,1.0,0,5.2M,10+,Paid,$5.49,Everyone,Books & Reference,"August 17, 2014",Android 2.0 - 2014,1.6 and up,"[0,23)"
WannaMeet – Dating & Chat App,DATING,1.0,6701,11M,"1,000,000+",Free,0,Mature 17+,Dating,"June 29, 2018",5.16.2,4.0.3 and up,"[889,26432)"
Houzz Interior Design Ideas,HOUSE_AND_HOME,1.0,353799,Varies with device,"10,000,000+",Free,0,Everyone,House & Home,"August 1, 2018",Varies with device,Varies with device,"[26432,max)"
Tutorials for R Programming Offline,FAMILY,1.0,2,4.4M,500+,Free,0,Everyone,Education,"December 4, 2017",1.0,4.0 and up,"[0,23)"
Butterfly Pixel Art - coloring by number,FAMILY,1.0,769,13M,"100,000+",Free,0,Everyone,Entertainment,"April 4, 2018",1.06,4.1 and up,"[23,889)"
DG Surveyor,BUSINESS,0.0,5,6.8M,50+,Paid,$8.99,Everyone,Business,"April 30, 2018",6.00,4.0.3 and up,"[0,23)"
MakeMyTrip-Flight Hotel Bus Cab IRCTC Rail Booking,TRAVEL_AND_LOCAL,1.0,599872,Varies with device,"10,000,000+",Free,0,Everyone,Travel & Local,"August 4, 2018",7.3.3,4.4 and up,"[26432,max)"
SugarSync,PRODUCTIVITY,1.0,16420,3.8M,"1,000,000+",Free,0,Everyone,Productivity,"May 16, 2018",4.4.0.4,2.3.3 and up,"[889,26432)"
OpenRice,FOOD_AND_DRINK,0.0,14952,39M,"1,000,000+",Free,0,Everyone,Food & Drink,"June 8, 2018",5.8.5,4.1 and up,"[889,26432)"
ZenUI Launcher,PERSONALIZATION,1.0,1141545,15M,"50,000,000+",Free,0,Everyone,Personalization,"July 31, 2018",Varies with device,Varies with device,"[26432,max)"
ReDNAKET DB Normalization Tool,TOOLS,1.0,0,940k,10+,Paid,$0.99,Everyone,Tools,"February 3, 2016",1.0.2,5.0 and up,"[0,23)"
Guide to Nikon Df,PHOTOGRAPHY,1.0,1,663k,10+,Paid,$29.99,Everyone,Photography,"February 18, 2014",2.0.0,4.0.3 and up,"[0,23)"
Absolute RC Heli Simulator,SPORTS,0.0,654,50M,"10,000+",Paid,$4.99,Everyone,Sports,"December 20, 2017",3.29,4.1 and up,"[23,889)"
PBA® Bowling Challenge,SPORTS,1.0,242096,87M,"10,000,000+",Free,0,Everyone,Sports,"August 2, 2018",3.4.4,4.1 and up,"[26432,max)"
DAILY: Free Classifieds App for Android,LIFESTYLE,1.0,5025,Varies with device,"500,000+",Free,0,Mature 17+,Lifestyle,"August 2, 2018",Varies with device,Varies with device,"[889,26432)"
Sky People (SPI): A secure blind date through authentication by Seoul National University,DATING,0.0,894,14M,"100,000+",Free,0,Mature 17+,Dating,"July 17, 2018",3.1.3,4.1 and up,"[889,26432)"
Ba ba black sheep offline Video,PARENTING,1.0,20,17M,"10,000+",Free,0,Everyone,Parenting,"July 2, 2017",1.1,4.0.3 and up,"[0,23)"
CR Tracker for Chests,TOOLS,1.0,6,4.5M,50+,Free,0,Everyone,Tools,"June 5, 2018",1.0.2,4.1 and up,"[0,23)"
"Chatting - Free chat, random chat, boyfriend, girlfriend",DATING,1.0,2506,6.1M,"500,000+",Free,0,Mature 17+,Dating,"June 15, 2017",3.0.0,4.0 and up,"[889,26432)"
BA SALES,COMMUNICATION,1.0,0,2.9M,1+,Free,0,Everyone,Communication,"January 31, 2018",1.0,4.0.3 and up,"[0,23)"
CB Register,FAMILY,1.0,1,5.6M,10+,Free,0,Everyone,Entertainment,"June 27, 2018",1.0,4.1 and up,"[0,23)"
House app: beautiful everyday ~,HOUSE_AND_HOME,1.0,2669,10M,"500,000+",Free,0,Teen,House & Home,"August 3, 2018",2.0.6.9,4.1 and up,"[889,26432)"
Top Mercato: football news,SPORTS,1.0,16016,6.9M,"1,000,000+",Free,0,Everyone,Sports,"January 7, 2016",2.7.0,4.2 and up,"[889,26432)"
Brave Browser: Fast AdBlocker,COMMUNICATION,1.0,40241,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"June 30, 2018",1.0.52,4.1 and up,"[26432,max)"
ixigo Cabs-Compare & Book Taxi,MAPS_AND_NAVIGATION,1.0,11838,9.2M,"1,000,000+",Free,0,Everyone,Maps & Navigation,"April 9, 2018",1.7.3,4.0.3 and up,"[889,26432)"
Browsery by Barnes & Noble,BOOKS_AND_REFERENCE,1.0,146,34M,"5,000+",Free,0,Everyone,Books & Reference,"April 30, 2018",1.1.3,4.4 and up,"[23,889)"
BeWild Free Dating & Chat App,DATING,0.0,1999,8.0M,"100,000+",Free,0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up,"[889,26432)"
LOL Pics (Funny Pictures),ENTERTAINMENT,1.0,67554,7.7M,"1,000,000+",Free,0,Teen,Entertainment,"September 15, 2015",4.0,2.3.3 and up,"[26432,max)"
Klix.ba,NEWS_AND_MAGAZINES,0.0,3647,5.7M,"100,000+",Free,0,Everyone,News & Magazines,"February 25, 2017",4.1.1,4.0 and up,"[889,26432)"
Ab Workouts,HEALTH_AND_FITNESS,1.0,27501,7.0M,"1,000,000+",Free,0,Everyone,Health & Fitness,"January 5, 2018",5.1.9,4.0 and up,"[26432,max)"
AZ REMOTE CONTROL,TOOLS,0.0,149,2.8M,"50,000+",Free,0,Everyone,Tools,"March 28, 2016",1.9,3.2 and up,"[23,889)"
BGCN TV,VIDEO_PLAYERS,0.0,4334,4.9M,"100,000+",Free,0,Everyone,Video Players & Editors,"November 4, 2015",3.1.891,Varies with device,"[889,26432)"
Cloud Print,PRODUCTIVITY,1.0,282460,Varies with device,"500,000,000+",Free,0,Everyone,Productivity,"May 23, 2018",Varies with device,Varies with device,"[26432,max)"
Microsoft Edge,COMMUNICATION,1.0,27187,66M,"5,000,000+",Free,0,Everyone,Communication,"July 28, 2018",42.0.0.2059,4.4 and up,"[26432,max)"
Fast like a Fox,GAME,1.0,104389,12M,"5,000,000+",Free,0,Everyone,Adventure,"April 17, 2018",1.4.0,4.2 and up,"[26432,max)"
Fever Care,MEDICAL,0.0,19,2.2M,"5,000+",Free,0,Everyone,Medical,"May 12, 2018",1.4.15-free,4.0.3 and up,"[0,23)"
Alba Heaven - Alvarez Job Portal Services,BUSINESS,0.0,8941,12M,"5,000,000+",Free,0,Everyone,Business,"July 31, 2018",4.6.30,4.0.3 and up,"[889,26432)"
Code on the egg,TOOLS,0.0,146,784k,"10,000+",Free,0,Everyone,Tools,"April 10, 2017",1.15,2.2 and up,"[23,889)"
Messenger,SOCIAL,1.0,68025,3.9M,"10,000,000+",Free,0,Everyone,Social,"April 16, 2018",1.0,4.1 and up,"[26432,max)"
Turbo AI™ - Personal assistant,PRODUCTIVITY,0.0,91,2.8M,"5,000+",Free,0,Everyone,Productivity,"July 16, 2018",0.0.52,4.0.3 and up,"[23,889)"
Ultimate Fighter Z,GAME,1.0,180,24M,"5,000+",Free,0,Everyone,Action,"July 16, 2018",2.0,4.4 and up,"[23,889)"
Future Cloud,PRODUCTIVITY,1.0,1075,Varies with device,"100,000+",Free,0,Everyone,Productivity,"January 22, 2018",Varies with device,4.4 and up,"[889,26432)"
Bar-B-Q Recipes,FOOD_AND_DRINK,1.0,18,3.5M,"5,000+",Free,0,Everyone,Food & Drink,"August 15, 2016",1.0,4.0 and up,"[0,23)"
AZ Lottery Players Club,FAMILY,1.0,97,8.9M,"10,000+",Free,0,Everyone,Entertainment,"July 9, 2018",2.0.0(9),4.0.3 and up,"[23,889)"
Top #5 Bσσkie in AU,SPORTS,1.0,0,10.0M,100+,Free,0,Everyone,Sports,"December 6, 2017",1.0,4.0 and up,"[0,23)"
FH® Cost Lookup / FH® CCSalud,MEDICAL,1.0,30,4.1M,"1,000+",Free,0,Everyone,Medical,"June 21, 2017",4.1.0,4.0.3 and up,"[23,889)"
Safe Notes - Secure Ad-free notepad,PRODUCTIVITY,1.0,3362,756k,"50,000+",Free,0,Everyone,Productivity,"November 21, 2017",1.7,4.0 and up,"[889,26432)"
FX LITE BO,FINANCE,0.0,73,14M,"10,000+",Free,0,Everyone,Finance,"October 18, 2016",1.5.0,4.1 and up,"[23,889)"
Shoot! DX - lights for FREE,GAME,1.0,4,Varies with device,100+,Free,0,Everyone,Action,"June 23, 2018",Varies with device,Varies with device,"[0,23)"
BP Fitness Lead Scanner,EVENTS,1.0,0,6.7M,1+,Paid,$109.99,Everyone,Events,"August 23, 2017",0.0.1,4.1 and up,"[0,23)"
Sin City Crime Simulator V - Gangster,GAME,1.0,2113,67M,"100,000+",Free,0,Everyone 10+,Action,"April 23, 2018",Varies with device,4.0.3 and up,"[889,26432)"
BJ TIKET,BUSINESS,1.0,3,3.4M,10+,Free,0,Everyone,Business,"February 9, 2018",8.0,4.0.3 and up,"[0,23)"
Bt Notifier -Smartwatch notice,TOOLS,0.0,632,8.2M,"500,000+",Free,0,Everyone,Tools,"May 23, 2017",1.0,6.0 and up,"[23,889)"
BD Briight: Your Diabetes Personal Assistant,MEDICAL,1.0,17,37M,"5,000+",Free,0,Everyone,Medical,"July 19, 2018",1.5.0,5.0 and up,"[0,23)"
Co-op Connections,SHOPPING,0.0,8,18M,"1,000+",Free,0,Everyone,Shopping,"May 3, 2018",1.5,4.1 and up,"[0,23)"
E-Z App™ Train Control,TOOLS,1.0,33,46M,"1,000+",Free,0,Everyone,Tools,"December 6, 2016",1.0,4.3 and up,"[23,889)"
Club Penguin Island,FAMILY,0.0,107441,32M,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,"July 10, 2018",1.10.5,4.4 and up,"[26432,max)"
Cool Popular Ringtones 2018 🔥,LIBRARIES_AND_DEMO,1.0,60170,28M,"1,000,000+",Free,0,Everyone,Libraries & Demo,"July 13, 2018",2.4,5.0 and up,"[26432,max)"
Pyaar Ek Dhoka hai Game - Anti Valentines,FAMILY,1.0,8,17M,100+,Free,0,Everyone,Casual,"February 11, 2018",3,4.1 and up,"[0,23)"
Pic Stitch - #1 Collage Maker,PHOTOGRAPHY,1.0,15426,50M,"1,000,000+",Free,0,Everyone,Photography,"July 24, 2018",3.8.3,5.1 and up,"[889,26432)"
SharedCare™ Co-parenting,PARENTING,0.0,23,Varies with device,100+,Paid,$4.59,Everyone,Parenting,"June 19, 2016",3.0.3,4.0 and up,"[23,889)"
Learn English with Wlingua,EDUCATION,1.0,314299,3.3M,"10,000,000+",Free,0,Everyone,Education,"May 2, 2018",1.94.9,4.0 and up,"[26432,max)"
Telstra,LIFESTYLE,0.0,4260,6.3M,"5,000,000+",Free,0,Everyone,Lifestyle,"August 8, 2017",6.1,2.3.3 and up,"[889,26432)"
English Grammar Test,EDUCATION,1.0,4075,5.1M,"500,000+",Free,0,Everyone,Education,"June 22, 2018",2.1.8,4.0.3 and up,"[889,26432)"
"Migraine, Headache Diary HeadApp Pro",MEDICAL,1.0,156,22M,500+,Paid,$3.49,Everyone,Medical,"March 14, 2018",1.10.0.user.pro.release,4.4 and up,"[23,889)"
DM security - Dragon Mobile,TOOLS,0.0,27,3.0M,"1,000+",Free,0,Everyone,Tools,"April 26, 2017",1.1.1,4.1 and up,"[23,889)"
FO Bixby,PERSONALIZATION,1.0,5,861k,100+,Paid,$0.99,Everyone,Personalization,"April 25, 2018",0.2,7.0 and up,"[0,23)"
DL Hughley,FAMILY,1.0,12,10M,"1,000+",Free,0,Mature 17+,Entertainment,"March 23, 2018",2.0.4,4.1 and up,"[0,23)"
X Back - Icon Pack,PERSONALIZATION,1.0,56,26M,"10,000+",Paid,$0.99,Everyone,Personalization,"June 29, 2018",1.6.2,4.1 and up,"[23,889)"
VAN NIAN 2018 - Vietnamese Calendar,EVENTS,1.0,37,16M,"10,000+",Free,0,Everyone,Events,"November 27, 2017",1.0,4.0 and up,"[23,889)"
USE Credit Union Mobile,FINANCE,1.0,964,14M,"10,000+",Free,0,Everyone,Finance,"June 12, 2018",5.9.1.0,5.0 and up,"[889,26432)"
CT Neck,MEDICAL,1.0,7,8.9M,"1,000+",Free,0,Everyone,Medical,"January 20, 2018",2.0,4.0 and up,"[0,23)"
ODTMobile,BUSINESS,0.0,15,2.7M,"10,000+",Free,0,Everyone,Business,"March 10, 2016",3.2,2.2 and up,"[0,23)"
Ag Guardian,PRODUCTIVITY,1.0,1,2.0M,100+,Free,0,Everyone,Productivity,"December 28, 2015",1.0.0,4.0 and up,"[0,23)"
GearBest Online Shopping,SHOPPING,1.0,245104,35M,"5,000,000+",Free,0,Everyone,Shopping,"August 1, 2018",3.6.0,4.0.3 and up,"[26432,max)"
5 Nights at Cube Pizzeria City,GAME,0.0,2691,52M,"100,000+",Free,0,Teen,Adventure,"February 22, 2017",1.2,4.2 and up,"[889,26432)"
Chat Kids - Chat Room For Kids,DATING,1.0,6,4.9M,100+,Free,0,Mature 17+,Dating,"July 24, 2018",1.0,4.0.3 and up,"[0,23)"
BJ Bridge Acol Beginner 2018,GAME,0.0,11,4.8M,"5,000+",Free,0,Everyone,Card,"May 21, 2018",6.2-begina,4.0 and up,"[0,23)"
FunnyPixels - Color by number Sandbox,FAMILY,1.0,1977,3.8M,"100,000+",Free,0,Everyone,Entertainment,"February 21, 2018",1.0.4,4.0.3 and up,"[889,26432)"
Etihad Airways,TRAVEL_AND_LOCAL,1.0,3674,61M,"500,000+",Free,0,Everyone,Travel & Local,"July 9, 2018",1.8.1 (41),5.0 and up,"[889,26432)"
Counter Deck Calculator for CR,TOOLS,1.0,3446,19M,"500,000+",Free,0,Everyone,Tools,"February 4, 2017",1.3.0,4.1 and up,"[889,26432)"
App Seguridad AV Villas,FINANCE,0.0,251,5.7M,"50,000+",Free,0,Everyone,Finance,"October 12, 2017",1.0.5,4.0 and up,"[23,889)"
Kenmore Smart AC,LIFESTYLE,0.0,71,24M,"5,000+",Free,0,Everyone,Lifestyle,"May 8, 2017",1.0.11,4.4 and up,"[23,889)"
EC - AP & Telangana,BOOKS_AND_REFERENCE,0.0,10,3.0M,"5,000+",Free,0,Everyone,Books & Reference,"November 10, 2017",1.0,4.0.3 and up,"[0,23)"
