Category,Rating,Reviews,Content Rating,Genres,Current Ver,NewSize,InstallNews,PriceNew,LastUpdatedYear,LastUpdatedMonth,LastUpdatedDay,AndroidVerNew,review_group_new,TypeNew
TOOLS,0.0,60,Everyone,Tools,1.0,3700000.0,5000,0.0,2018,3,19,5.0,2,0
SHOPPING,1.0,134,Everyone,Shopping,1.2,45000.0,10000,0.0,2013,6,4,2.2,2,0
HEALTH_AND_FITNESS,1.0,2071,Everyone,Health & Fitness,1.0.12,6900000.0,100000,0.0,2018,7,24,4.1,3,0
FAMILY,1.0,1130,Teen,Simulation,1.01,48000000.0,50000,0.0,2015,4,3,4.2,3,0
PRODUCTIVITY,1.0,549900,Everyone,Productivity,7.3.30,60000000.0,10000000,0.0,2018,7,18,4.1,4,0
MEDICAL,1.0,27,Everyone,Medical,2.5.0 b665,15000000.0,5000,0.0,2018,7,20,5.0,2,0
FINANCE,0.0,472,Everyone,Finance,3.4,965000.0,5000,399.99,2017,5,1,4.4,2,1
FAMILY,1.0,1168959,Everyone,Puzzle,2.3.3,66000000.0,50000000,0.0,2017,5,3,4.1,4,0
LIFESTYLE,1.0,141,Everyone,Lifestyle,1.8,15000000.0,1000,0.0,2018,3,24,4.1,2,0
TRAVEL_AND_LOCAL,1.0,0,Everyone,Travel & Local,4.6.2201,22000000.0,5,0.0,2018,6,18,4.3,1,0
NEWS_AND_MAGAZINES,1.0,11667403,Mature 17+,News & Magazines,Varies with device,12000000.0,500000000,0.0,2018,8,6,4.0,4,0
GAME,1.0,46416,Everyone,Arcade,1.0.8,73000000.0,10000000,0.0,2018,7,23,4.1,4,0
HEALTH_AND_FITNESS,1.0,4,Everyone,Health & Fitness,4.2.2,14000000.0,100,0.0,2018,7,9,4.1,1,0
GAME,1.0,177542,Everyone,Arcade,1.0.7,40000000.0,10000000,0.0,2016,5,2,2.3,4,0
PHOTOGRAPHY,1.0,462702,Everyone,Photography,8.1.0.6,45000000.0,10000000,0.0,2018,8,1,4.3,4,0
PERSONALIZATION,1.0,38,Teen,Personalization,1.0,16000000.0,10000,0.0,2016,6,17,2.3,2,0
NEWS_AND_MAGAZINES,1.0,55,Everyone,News & Magazines,2.0,22000000.0,1000,0.0,2017,5,12,4.0,2,0
SOCIAL,1.0,51569,Teen,Social,5.4.7,26000000.0,1000000,0.0,2018,7,30,4.1,4,0
PHOTOGRAPHY,1.0,527247,Everyone,Photography,1.6.1,12000000.0,50000000,0.0,2018,2,1,4.0,4,0
NEWS_AND_MAGAZINES,0.0,367,Everyone,News & Magazines,1.7,6100000.0,50000,0.0,2018,3,2,4.0,2,0
HEALTH_AND_FITNESS,1.0,32606,Everyone,Health & Fitness,Varies with device,12000000.0,1000000,0.0,2018,3,22,4.0,4,0
DATING,1.0,2556,Mature 17+,Dating,2.5.2,56000000.0,100000,0.0,2018,8,1,4.1,3,0
MAPS_AND_NAVIGATION,0.0,96,Everyone,Maps & Navigation,1.4.0,14000000.0,10000,0.0,2017,11,14,4.1,2,0
GAME,1.0,375996,Everyone,Board,1.48.0,3300000.0,10000000,0.0,2018,8,6,4.1,4,0
COMMUNICATION,1.0,2264916,Everyone,Communication,5.22.18.0006,6100000.0,50000000,0.0,2018,7,31,4.0,4,0
GAME,0.0,48,Teen,Card,1.0.1,13000000.0,10000,0.0,2016,4,10,4.1,2,0
PHOTOGRAPHY,0.0,77,Everyone,Photography,1.1,1200000.0,1000,19.99,2016,10,26,4.1,2,1
FAMILY,1.0,1,Everyone,Education,1.0,18000000.0,100,0.0,2018,8,2,4.4,1,0
MEDICAL,1.0,23160,Everyone,Medical,7.4.1,26000000.0,1000000,0.0,2018,7,27,5.0,3,0
TOOLS,1.0,40617,Everyone,Tools,65.0,21000000.0,5000000,0.0,2018,7,31,4.1,4,0
GAME,1.0,413,Everyone,Adventure,1.04,9100000.0,1000,4.99,2017,5,17,4.0,2,1
PHOTOGRAPHY,1.0,0,Everyone,Photography,closed,3700000.0,500,0.0,2017,9,13,4.0,1,0
HEALTH_AND_FITNESS,1.0,0,Everyone,Health & Fitness,4.2.2,11000000.0,10,0.0,2018,7,9,4.1,1,0
NEWS_AND_MAGAZINES,1.0,0,Teen,News & Magazines,1.1,3800000.0,10,0.0,2016,7,15,2.3,1,0
LIFESTYLE,0.0,67,Everyone,Lifestyle,3.5,499000.0,5000,0.0,2015,12,23,4.0,2,0
TOOLS,0.0,7,Everyone,Tools,3.0,2700000.0,1000,0.0,2018,4,3,5.0,1,0
FAMILY,1.0,6333,Everyone,Entertainment,1.1.12,30000000.0,1000000,0.0,2018,5,25,5.0,3,0
LIFESTYLE,1.0,234971,Everyone,Lifestyle,2.8.7.78579,81000000.0,1000000,0.0,2018,7,25,4.4,4,0
BUSINESS,1.0,74359,Everyone,Business,1.12.5,25000000.0,1000000,0.0,2018,7,27,4.0,4,0
DATING,1.0,7779,Mature 17+,Dating,6.1.3,12000000.0,500000,0.0,2018,8,3,5.0,3,0
GAME,1.0,4578476,Everyone 10+,Strategy,1.4.51,24000000.0,50000000,0.0,2018,7,17,4.1,4,0
TOOLS,1.0,17,Everyone,Tools,1.1,67000.0,1000,0.0,2016,1,29,4.0,1,0
TRAVEL_AND_LOCAL,1.0,0,Everyone,Travel & Local,1.0.0,29000000.0,1,0.0,2018,8,1,4.4,1,0
EDUCATION,1.0,3816,Everyone,Education,3.6.0.115_FN,2600000.0,500000,0.0,2016,5,4,2.3,3,0
FAMILY,1.0,152,Everyone,Entertainment,1.0,1200000.0,10000,0.0,2015,11,28,2.2,2,0
BOOKS_AND_REFERENCE,1.0,1201,Everyone,Books & Reference,1.0,2900000.0,100000,0.0,2015,6,24,2.3,3,0
SHOPPING,1.0,35563,Everyone,Shopping,10.2.1,4200000.0,1000000,0.0,2018,7,23,4.1,4,0
NEWS_AND_MAGAZINES,0.0,24,Everyone,News & Magazines,1.1,10000000.0,5000,0.0,2015,12,24,4.1,2,0
FAMILY,1.0,7812,Everyone 10+,Role Playing,1.1.4,27000000.0,50000,19.99,2017,4,4,4.0,3,1
FAMILY,0.0,3478,Everyone,Simulation,4.0,95000000.0,1000000,0.0,2018,2,24,4.1,3,0
TOOLS,1.0,1072565,Everyone,Tools,Varies with device,12000000.0,50000000,0.0,2018,7,25,4.0,4,0
TOOLS,1.0,576454,Everyone,Tools,2.0.9,6100000.0,50000000,0.0,2018,2,5,4.0,4,0
FINANCE,1.0,167168,Everyone,Finance,3.115.27,20000000.0,1000000,0.0,2018,7,4,4.1,4,0
FOOD_AND_DRINK,0.0,10741,Everyone,Food & Drink,5.2.2,41000000.0,1000000,0.0,2018,7,23,4.2,3,0
FOOD_AND_DRINK,0.0,1726,Everyone,Food & Drink,4.26,30000000.0,500000,0.0,2018,7,19,4.4,3,0
HEALTH_AND_FITNESS,1.0,1,Teen,Health & Fitness,1.1,3500000.0,500,0.0,2017,11,1,2.3,1,0
TOOLS,1.0,81668,Everyone,Tools,Varies with device,12000000.0,5000000,0.0,2016,12,26,4.0,4,0
FAMILY,1.0,84389,Everyone,Role Playing,1.375,48000000.0,1000000,0.0,2018,8,5,4.0,4,0
GAME,1.0,4447388,Everyone 10+,Adventure;Action & Adventure,2.347.225742,67000000.0,100000000,0.0,2018,7,31,4.1,4,0
FINANCE,1.0,24647,Everyone,Finance,Varies with device,12000000.0,1000000,0.0,2018,7,13,4.0,3,0
PHOTOGRAPHY,1.0,240475,Everyone,Photography,3.8,9500000.0,10000000,0.0,2017,11,22,4.0,4,0
WEATHER,1.0,4184,Everyone,Weather,7.1.12.12,10000000.0,1000000,0.0,2018,3,26,5.0,3,0
PERSONALIZATION,1.0,35,Teen,Personalization,1.0,15000000.0,10000,0.0,2016,4,21,2.3,2,0
PERSONALIZATION,1.0,2,Teen,Personalization,1.0,13000000.0,100,0.0,2016,10,3,2.3,1,0
BUSINESS,1.0,148945,Everyone,Business,5.2.8,25000000.0,1000000,0.0,2018,7,19,5.0,4,0
GAME,1.0,0,Everyone,Arcade,Varies with device,12000000.0,1,0.99,2016,7,24,4.0,1,1
GAME,1.0,211,Everyone,Action,2.1,3600000.0,50000,0.0,2018,1,26,4.0,2,0
NEWS_AND_MAGAZINES,1.0,89,Everyone,News & Magazines,5.0,5700000.0,5000,0.0,2018,2,17,4.4,2,0
DATING,0.0,1157,Mature 17+,Dating,5.0.1,21000000.0,100000,0.0,2017,1,27,4.2,3,0
FAMILY,0.0,53,Everyone,Puzzle,1.0.1,82000000.0,10000,0.0,2018,3,17,7.0,2,0
HEALTH_AND_FITNESS,1.0,31,Everyone,Health & Fitness,0.0.1,4700000.0,1000,0.0,2016,7,19,4.1,2,0
BUSINESS,1.0,11310,Everyone,Business,Varies with device,12000000.0,1000000,0.0,2018,7,19,4.0,3,0
TOOLS,0.0,332,Everyone,Tools,6.1.7,26000000.0,50000,0.0,2018,7,30,4.2,2,0
FAMILY,1.0,1,Everyone,Education,1.0,16000000.0,100,0.0,2017,12,21,4.0,1,0
MEDICAL,1.0,4,Everyone,Medical,1.0,2500000.0,5,0.0,2018,8,3,4.1,1,0
SOCIAL,0.0,108,Teen,Social,3.1,2800000.0,10000,0.0,2018,5,28,4.2,2,0
PRODUCTIVITY,0.0,16,Everyone,Productivity,1.5.1,21000000.0,1000,0.0,2018,7,20,5.0,1,0
FAMILY,1.0,1,Everyone,Entertainment,2.0.0,24000000.0,100,0.0,2017,12,12,4.3,1,0
TOOLS,1.0,2,Everyone,Tools,1.0,18000000.0,1000,0.0,2017,9,27,4.0,1,0
SPORTS,1.0,162933,Everyone,Sports,25.7,100000000.0,5000000,0.0,2018,5,11,4.1,4,0
ART_AND_DESIGN,1.0,224399,Everyone,Art & Design,5.5.4,31000000.0,10000000,0.0,2018,7,30,4.1,4,0
FAMILY,1.0,2,Everyone,Entertainment,2.0.0,18000000.0,100,0.0,2018,5,5,5.0,1,0
LIFESTYLE,1.0,21195,Everyone,Lifestyle,Varies with device,12000000.0,1000000,0.0,2018,6,22,4.0,3,0
FINANCE,1.0,112656,Everyone,Finance,3.9.0,93000000.0,5000000,0.0,2018,7,19,4.1,4,0
COMICS,1.0,1677,Everyone,Comics,1.7.7,40000000.0,100000,0.0,2018,5,26,4.1,3,0
HEALTH_AND_FITNESS,1.0,5499,Everyone,Health & Fitness,2.0.16,94000000.0,100000,0.0,2018,7,23,4.1,3,0
FAMILY,1.0,128,Everyone 10+,Strategy,1.50,41000000.0,10000,0.0,2018,6,12,4.2,2,0
FAMILY,1.0,0,Everyone,Education,1.0.5.170418-cardspl,18000000.0,100,0.0,2018,4,17,4.4,1,0
BUSINESS,0.0,25,Everyone,Business,1.1.2,16000000.0,10000,0.0,2018,7,27,4.1,2,0
LIFESTYLE,1.0,1213,Everyone,Lifestyle,2.8.4,13000000.0,100000,0.0,2018,6,4,4.0,3,0
TOOLS,0.0,336,Everyone,Tools,6.1.7,27000000.0,50000,0.0,2018,7,30,4.2,2,0
VIDEO_PLAYERS,1.0,696665,Everyone,Video Players & Editors,4.7.4.3869-7b2372c3e,91000000.0,10000000,0.0,2018,7,5,5.0,4,0
BUSINESS,1.0,4,Everyone,Business,1.5.0,2000000.0,1000,0.0,2016,7,25,2.3,1,0
ENTERTAINMENT,0.0,10939,Everyone,Entertainment,2.05.0010,4600000.0,10000000,0.0,2016,4,28,5.0,3,0
AUTO_AND_VEHICLES,1.0,271920,Teen,Auto & Vehicles,Varies with device,16000000.0,10000000,0.0,2018,7,11,5.0,4,0
PERSONALIZATION,1.0,33,Everyone,Personalization,2.0,857000.0,500,1.49,2016,1,1,4.0,2,1
EDUCATION,1.0,18372,Everyone,Education,7.2.3634,47000000.0,100000,0.0,2018,5,21,4.4,3,0
PHOTOGRAPHY,1.0,44941,Everyone,Photography,1.6.2,16000000.0,1000000,0.0,2016,10,19,3.0,4,0
EDUCATION,1.0,14286,Everyone,Education;Creativity,Varies with device,12000000.0,5000000,0.0,2018,4,26,4.1,3,0
COMICS,1.0,18814,Mature 17+,Comics,Varies with device,12000000.0,1000000,0.0,2018,7,30,4.0,3,0
FINANCE,0.0,103,Everyone,Finance,3.4,6900000.0,5000,0.0,2018,7,11,4.0,2,0
TRAVEL_AND_LOCAL,0.0,69,Everyone,Travel & Local,3.4.1,31000000.0,10000,0.0,2018,6,11,5.0,2,0
TOOLS,1.0,16192,Everyone,Tools,4.1.9o,1600000.0,1000000,0.0,2016,7,13,4.0,3,0
FAMILY,0.0,35337,Teen,Entertainment,1.7.28,7400000.0,5000000,0.0,2018,5,25,4.0,4,0
FAMILY,0.0,45,Everyone,Entertainment,1.2,47000000.0,10000,2.49,2018,7,16,5.0,2,1
WEATHER,1.0,11118,Everyone,Weather,30,9700000.0,1000000,0.0,2018,4,26,4.0,3,0
MEDICAL,1.0,7,Everyone,Medical,3.0.0,5700000.0,5000,0.0,2016,10,13,4.0,1,0
ENTERTAINMENT,1.0,27424,Teen,Entertainment,11.45.0,17000000.0,1000000,0.0,2018,7,8,4.4,4,0
FAMILY,1.0,4,Everyone,Education,1.0,3600000.0,100,0.0,2018,7,6,4.1,1,0
SPORTS,1.0,7543,Everyone,Sports,1.31.0,25000000.0,500000,0.0,2018,7,11,4.1,3,0
GAME,0.0,23104,Everyone,Racing,2.2,48000000.0,1000000,0.0,2015,8,5,2.3,3,0
COMICS,0.0,1446,Mature 17+,Comics,1.0,7100000.0,100000,0.0,2018,5,18,4.0,3,0
HOUSE_AND_HOME,1.0,103305,Everyone,House & Home,Varies with device,12000000.0,5000000,0.0,2018,7,31,4.0,4,0
NEWS_AND_MAGAZINES,1.0,0,Everyone,News & Magazines,1.1.0,11000000.0,10,0.0,2018,2,1,4.4,1,0
PRODUCTIVITY,1.0,133,Everyone,Productivity,1.0.184,7900000.0,10000,0.0,2018,1,12,4.2,2,0
FAMILY,1.0,70335,Teen,Simulation,1.0.7,58000000.0,500000,0.0,2017,10,17,4.3,4,0
SPORTS,0.0,282727,Everyone,Sports,18.0.5.172734,63000000.0,10000000,0.0,2017,12,7,4.4,4,0
PERSONALIZATION,1.0,6342,Everyone,Personalization,1.8,38000000.0,1000000,0.0,2018,7,13,4.1,3,0
FAMILY,1.0,7881,Everyone,Education,7.0,53000000.0,500000,0.0,2018,5,6,4.0,3,0
FAMILY,1.0,925,Everyone,Casual,1.5,40000000.0,10000,1.99,2014,12,26,2.3,3,1
TOOLS,1.0,342336,Everyone,Tools;Education,Varies with device,12000000.0,10000000,0.0,2015,8,10,4.0,4,0
COMMUNICATION,1.0,8827,Everyone,Communication,1.0.2,12000000.0,1000000,0.0,2018,5,22,4.0,3,0
PRODUCTIVITY,1.0,67523,Everyone,Productivity,2.5.4,12000000.0,1000000,0.0,2018,7,19,4.1,4,0
SPORTS,1.0,1312936,Everyone,Sports,3.4.06,21000000.0,10000000,0.0,2018,7,31,4.4,4,0
PERSONALIZATION,1.0,11244,Everyone,Personalization,1.1.1,2200000.0,1000000,0.0,2018,6,12,4.1,3,0
MEDICAL,1.0,197,Everyone,Medical,3.5.7,20000000.0,10000,0.0,2018,8,2,7.0,2,0
FINANCE,0.0,72,Everyone,Finance,2.0.9,2400000.0,10000,0.0,2018,2,13,4.0,2,0
TOOLS,1.0,46,Everyone,Tools,4.0.6,6100000.0,1000,0.0,2016,9,21,4.0,2,0
BUSINESS,1.0,6969,Everyone,Business,3.9.11,4800000.0,100000,0.0,2018,6,29,4.4,3,0
TOOLS,1.0,18,Everyone,Tools,3.4.5,4000000.0,100,0.0,2018,4,1,4.0,1,0
FAMILY,1.0,8,Everyone,Entertainment,1.1,2700000.0,100,0.0,2017,12,3,4.1,1,0
ENTERTAINMENT,0.0,87384,Everyone,Entertainment,Varies with device,12000000.0,10000000,0.0,2016,9,14,4.0,4,0
TOOLS,1.0,428581,Everyone,Tools,1.33,4700000.0,10000000,0.0,2018,7,17,4.0,4,0
FAMILY,1.0,6133,Everyone,Education,6.2,7000000.0,100000,0.0,2015,10,1,2.3,3,0
PERSONALIZATION,0.0,23,Everyone,Personalization,2.0,5900000.0,1000,0.0,2018,7,16,4.0,1,0
FAMILY,0.0,1615,Everyone,Board;Brain Games,1.0.3,1200000.0,10000,4.99,2016,2,9,4.0,3,1
SPORTS,1.0,7,Everyone,Sports,1.3,1900000.0,500,0.0,2017,12,11,4.0,1,0
BUSINESS,1.0,63,Everyone,Business,3.0.1,13000000.0,5000,0.0,2015,9,13,2.3,2,0
HOUSE_AND_HOME,1.0,809,Everyone,House & Home,1.6.1.2,7800000.0,100000,0.0,2018,7,25,4.0,2,0
FINANCE,0.0,35518,Everyone,Finance,Varies with device,12000000.0,1000000,0.0,2018,7,2,4.0,4,0
FAMILY,0.0,1130,Teen,Educational,1.4,77000000.0,100000,0.0,2018,5,15,4.0,3,0
TOOLS,0.0,657,Everyone,Tools,3.49.0202,21000000.0,100000,0.0,2018,1,19,4.0,2,0
FAMILY,1.0,2167,Everyone,Entertainment,1.1.5,13000000.0,100000,0.0,2018,8,6,4.4,3,0
GAME,0.0,4416,Teen,Casino,2.1.7,59000000.0,500000,0.0,2017,1,18,4.0,3,0
TOOLS,1.0,3356,Everyone,Tools,Varies with device,12000000.0,10000,2.95,2018,2,17,4.0,3,1
GAME,1.0,70351,Everyone,Arcade,Varies with device,12000000.0,5000000,0.0,2018,3,3,4.0,4,0
TOOLS,1.0,83,Everyone,Tools,1.0.0,2000000.0,1000,0.0,2015,3,27,4.0,2,0
FAMILY,1.0,162,Everyone,Education,Y4W-GATE_CS-5.0.0,6200000.0,10000,0.0,2018,2,15,4.1,2,0
FAMILY,0.0,133117,Everyone,Casual;Pretend Play,2.6,63000000.0,5000000,0.0,2018,7,12,4.1,4,0
FAMILY,1.0,82005,Everyone 10+,Action;Action & Adventure,1.2.1,45000000.0,10000000,0.0,2017,10,24,4.4,4,0
FINANCE,0.0,44545,Everyone,Finance,Varies with device,12000000.0,1000000,0.0,2018,7,31,4.0,4,0
FAMILY,1.0,160,Everyone,Education;Education,3.4.0,67000000.0,50000,0.0,2018,6,18,4.0,2,0
FAMILY,0.0,33178,Everyone,Casual,1.0.5,3100000.0,1000000,0.0,2015,2,2,4.3,4,0
VIDEO_PLAYERS,1.0,15765,Everyone,Video Players & Editors,2.0,10000000.0,1000000,0.0,2014,9,12,2.2,3,0
PERSONALIZATION,1.0,4,Everyone,Personalization,1.0,3900000.0,100,0.0,2018,4,24,4.1,1,0
TOOLS,0.0,361,Everyone,Tools,Varies with device,12000000.0,50000,0.0,2018,7,12,4.0,2,0
SOCIAL,0.0,23,Everyone,Social,1.0,16000000.0,5000,0.0,2018,4,26,4.1,1,0
FAMILY,1.0,5178,Everyone,Simulation,1.7,20000000.0,1000000,0.0,2017,10,10,2.3,3,0
TRAVEL_AND_LOCAL,1.0,12564,Everyone,Travel & Local,Varies with device,12000000.0,1000000,0.0,2018,7,5,4.0,3,0
PERSONALIZATION,1.0,248,Mature 17+,Personalization,9.0,2800000.0,10000,0.0,2016,5,23,4.0,2,0
FAMILY,0.0,53,Everyone,Entertainment,2.1.2,7900000.0,5000,0.0,2017,9,20,4.0,2,0
NEWS_AND_MAGAZINES,1.0,0,Everyone,News & Magazines,1.0,5800000.0,100,0.0,2018,6,5,4.2,1,0
WEATHER,0.0,100994,Everyone,Weather,5.9.7,54000000.0,5000000,0.0,2018,7,13,4.1,4,0
MEDICAL,1.0,80,Everyone,Medical,1.0,48000000.0,5000,14.99,2013,11,5,3.0,2,1
MEDICAL,1.0,7,Everyone,Medical,43.0,2700000.0,1000,0.0,2018,4,16,4.0,1,0
VIDEO_PLAYERS,1.0,20,Everyone,Video Players & Editors,1.0.0,5100000.0,5000,0.0,2018,4,27,4.0,1,0
MEDICAL,1.0,2,Everyone,Medical,2.01.12,20000000.0,50,0.0,2018,7,24,4.0,1,0
FAMILY,1.0,14432,Everyone,Casual,1.5,35000000.0,500000,0.0,2017,9,21,4.0,3,0
GAME,0.0,47386,Everyone,Racing,31,96000000.0,1000000,0.0,2018,6,6,4.2,4,0
FAMILY,0.0,89,Everyone,Education,1.10.0,35000000.0,10000,0.0,2018,7,23,4.4,2,0
MEDICAL,0.0,22,Everyone,Medical,1.14,801000.0,5000,0.0,2017,3,6,3.0,1,0
MAPS_AND_NAVIGATION,0.0,22,Everyone,Maps & Navigation,2.2,3200000.0,1000,0.0,2018,7,4,4.1,1,0
FAMILY,1.0,1330,Teen,Strategy,1.1.0,96000000.0,10000,0.99,2018,7,18,4.4,3,1
BOOKS_AND_REFERENCE,1.0,0,Everyone,Books & Reference,1.1,13000000.0,500,0.0,2018,2,13,4.0,1,0
PRODUCTIVITY,1.0,12435,Everyone,Productivity,Varies with device,31000000.0,10000000,0.0,2017,9,26,6.0,3,0
TOOLS,0.0,885,Everyone,Tools,1.0.612928,8000000.0,100000,0.0,2015,10,30,5.0,2,0
BUSINESS,1.0,1,Everyone,Business,1.1.0,3400000.0,100,0.0,2018,1,17,4.0,1,0
TOOLS,0.0,19,Everyone,Tools,1.1,2100000.0,1000,0.0,2017,9,5,4.3,1,0
FAMILY,1.0,92010,Everyone,Strategy,1.4.8,5900000.0,1000000,0.0,2018,7,4,4.2,4,0
FAMILY,1.0,1516,Everyone,Role Playing,1.0.4,44000000.0,50000,2.99,2017,11,27,4.2,3,1
FAMILY,1.0,45370,Teen,Simulation,2.59.8,14000000.0,1000000,0.0,2018,8,2,2.3,4,0
DATING,1.0,313724,Mature 17+,Dating,2.6.141,12000000.0,10000000,0.0,2018,8,4,4.1,4,0
HEALTH_AND_FITNESS,1.0,0,Everyone,Health & Fitness,3.1.2,8500000.0,100,0.0,2018,7,12,4.1,1,0
FAMILY,1.0,43314,Everyone 10+,Role Playing;Action & Adventure,1.0.2,83000000.0,1000000,0.0,2017,6,20,4.1,4,0
GAME,1.0,38297,Everyone,Arcade,1.0.8,6400000.0,10000000,0.0,2018,7,5,4.0,4,0
WEATHER,0.0,135337,Everyone,Weather,Varies with device,12000000.0,5000000,0.0,2018,8,6,4.0,4,0
NEWS_AND_MAGAZINES,1.0,2,Everyone,News & Magazines,3.5.0,13000000.0,100,0.0,2016,12,13,4.0,1,0
HOUSE_AND_HOME,0.0,4087,Everyone,House & Home,4.3.0,9200000.0,500000,0.0,2018,7,16,4.1,3,0
BUSINESS,1.0,19023,Everyone,Business,99.0.0.35.75,12000000.0,1000000,0.0,2018,8,1,4.1,3,0
LIBRARIES_AND_DEMO,1.0,66,Everyone,Libraries & Demo,2.3.2,728000.0,10000,0.0,2017,2,5,1.6,2,0
FAMILY,0.0,165,Teen,Entertainment,1.0,25000000.0,10000,0.0,2015,4,26,2.3,2,0
NEWS_AND_MAGAZINES,1.0,1948,Everyone,News & Magazines,Varies with device,12000000.0,100000,0.0,2018,2,22,4.0,3,0
PERSONALIZATION,1.0,1121805,Everyone,Personalization,Varies with device,12000000.0,50000000,0.0,2018,5,14,4.0,4,0
FAMILY,0.0,126,Everyone,Entertainment,1.0-build20170819,13000000.0,10000,0.0,2017,8,22,4.1,2,0
PERSONALIZATION,1.0,86,Teen,Personalization,1.0,17000000.0,10000,0.0,2016,10,2,2.3,2,0
FINANCE,1.0,6208,Everyone,Finance,5.9.1.0,14000000.0,100000,0.0,2018,6,12,5.0,3,0
COMMUNICATION,0.0,21,Everyone,Communication,1.0.100rc1.withoutKeysync,20000000.0,500,0.99,2018,7,30,5.0,1,1
VIDEO_PLAYERS,0.0,46,Everyone,Video Players & Editors,1.0.6,3100000.0,5000,0.0,2015,4,20,3.0,2,0
FAMILY,1.0,1,Everyone,Education,1.1.5,30000000.0,10,0.0,2018,8,2,4.1,1,0
VIDEO_PLAYERS,1.0,953894,Everyone,Video Players & Editors,3.5.1.8,37000000.0,10000000,0.0,2018,4,26,4.0,4,0
GAME,1.0,13004,Teen,Action,1.0.11,46000000.0,100000,6.99,2016,12,20,2.3,3,1
FAMILY,1.0,214,Teen,Casual,1.0,46000000.0,100000,0.0,2016,12,22,4.0,2,0
NEWS_AND_MAGAZINES,1.0,0,Everyone,News & Magazines,1.2,29000000.0,100,0.0,2017,6,12,4.1,1,0
BOOKS_AND_REFERENCE,1.0,873,Everyone,Books & Reference,2.2,2500000.0,50000,0.0,2014,7,31,2.1,2,0
NEWS_AND_MAGAZINES,0.0,794,Everyone,News & Magazines,3.2.7,15000000.0,100000,0.0,2018,7,26,4.1,2,0
FAMILY,1.0,268,Everyone,Education,2.1.1,4200000.0,50000,0.0,2017,1,23,3.0,2,0
BEAUTY,1.0,1,Everyone,Beauty,1.0,6000000.0,50,0.0,2017,2,17,4.4,1,0
SPORTS,1.0,101,Everyone,Sports,5.4,3900000.0,10000,0.0,2018,7,15,4.1,2,0
COMMUNICATION,0.0,42370,Everyone,Communication,7.5.1,37000000.0,1000000,0.0,2018,6,25,5.0,4,0
DATING,1.0,825,Mature 17+,Dating,1.0.5,12000000.0,100000,0.0,2017,12,28,4.0,2,0
TOOLS,0.0,21,Everyone,Tools,6.1,210000.0,10000,0.0,2015,12,18,4.2,1,0
SPORTS,0.0,64,Everyone,Sports,1.9.1,5700000.0,5000,0.0,2018,4,4,6.0,2,0
GAME,0.0,294,Everyone,Arcade,1.0,19000000.0,10000,0.0,2018,7,19,3.0,2,0
MEDICAL,0.0,2,Everyone,Medical,2.0.1,33000000.0,100,0.0,2018,7,2,4.1,1,0
GAME,1.0,12683,Everyone,Action,1.1,19000000.0,1000000,0.0,2018,2,5,2.3,3,0
BUSINESS,1.0,7,Everyone,Business,1.0.0,2000000.0,500,0.0,2017,8,24,2.3,1,0
MEDICAL,1.0,65,Everyone,Medical,10.4.1.000_00,37000000.0,10000,0.0,2018,4,5,4.0,2,0
TRAVEL_AND_LOCAL,1.0,1162837,Everyone,Travel & Local,Varies with device,12000000.0,100000000,0.0,2018,8,4,4.0,4,0
FAMILY,1.0,16,Everyone,Education,2.0,1600000.0,500,0.0,2016,12,21,4.0,1,0
PERSONALIZATION,1.0,35771,Everyone,Personalization,4.1,3500000.0,5000000,0.0,2018,5,4,4.1,4,0
FAMILY,0.0,751,Everyone,Casual,1.2.9,49000000.0,10000,0.99,2014,11,4,2.3,2,1
TOOLS,0.0,16,Everyone,Tools,2.0,1300000.0,10000,0.0,2016,11,5,4.0,1,0
TOOLS,1.0,9716,Everyone,Tools,4.7,1300000.0,1000000,0.0,2018,4,10,4.0,3,0
FAMILY,1.0,244,Mature 17+,Entertainment,1.2.0,25000000.0,10000,0.0,2017,10,11,4.1,2,0
MEDICAL,1.0,0,Everyone,Medical,1.0,3200000.0,0,200.0,2015,7,26,3.0,1,1
GAME,1.0,8537,Everyone 10+,Action,1.1.4,29000000.0,100000,0.0,2015,11,3,2.3,3,0
HEALTH_AND_FITNESS,1.0,2,Everyone,Health & Fitness,0.9.16,12000000.0,500,0.0,2017,10,24,4.0,1,0
AUTO_AND_VEHICLES,1.0,3617,Everyone,Auto & Vehicles,2.8.2,7900000.0,100000,0.0,2018,5,16,4.1,3,0
PERSONALIZATION,1.0,13,Everyone,Personalization,1.1,3900000.0,1000,0.0,2018,1,17,4.0,1,0
GAME,1.0,3017,Mature 17+,Adventure,1.3.7,39000000.0,500000,0.0,2018,1,2,4.3,3,0
BUSINESS,1.0,0,Everyone,Business,102.0.875,42000000.0,100,0.0,2018,3,16,4.2,1,0
FAMILY,1.0,47213,Everyone,Entertainment;Pretend Play,1.8,14000000.0,5000000,0.0,2017,12,9,4.2,4,0
FOOD_AND_DRINK,1.0,41,Teen,Food & Drink,1.0,4000000.0,500,0.0,2018,7,17,5.0,2,0
NEWS_AND_MAGAZINES,1.0,0,Everyone,News & Magazines,5.1.1,12000000.0,10,0.0,2018,7,30,4.1,1,0
FAMILY,1.0,3527,Teen,Strategy,2.2.0.23,35000000.0,100000,0.0,2015,9,8,3.0,3,0
